year,year2,year2c,year_begin,year_end,year_after_begin,year_after_end,year_before_end,days_in_year,hours_in_year,weekdays,weekends,special_days,working_days,is_leap_year,order_year_number
2019,19,19,2019-01-01,2019-12-31,2020-01-01,2020-12-31,2018-12-31,365,8760,1,0,0,1,0,0
2020,20,20,2020-01-01,2020-12-31,2021-01-01,2021-12-31,2019-12-31,366,8784,262,104,4,259,1,1
2021,21,21,2021-01-01,2021-12-31,2022-01-01,2022-12-31,2020-12-31,365,8760,261,104,4,260,0,2
2022,22,22,2022-01-01,2022-12-31,2023-01-01,2023-12-31,2021-12-31,365,8760,260,105,4,259,0,3
2023,23,23,2023-01-01,2023-12-31,2024-01-01,2024-12-31,2022-12-31,365,8760,260,105,4,257,0,4
2024,24,24,2024-01-01,2024-12-31,2025-01-01,2025-12-31,2023-12-31,366,8784,262,104,4,258,1,5
2025,25,25,2025-01-01,2025-12-31,2026-01-01,2026-12-31,2024-12-31,365,8760,261,104,4,257,0,6
2026,26,26,2026-01-01,2026-12-31,2027-01-01,2027-12-31,2025-12-31,365,8760,261,104,4,258,0,7
2027,27,27,2027-01-01,2027-12-31,2028-01-01,2028-12-31,2026-12-31,365,8760,261,104,4,260,0,8
2028,28,28,2028-01-01,2028-12-31,2029-01-01,2029-12-31,2027-12-31,366,8784,260,106,4,257,1,9
2029,29,29,2029-01-01,2029-12-31,2030-01-01,2030-12-31,2028-12-31,365,8760,261,104,4,257,0,10
2030,30,30,2030-01-01,2030-12-31,2031-01-01,2031-12-31,2029-12-31,365,8760,261,104,4,257,0,11
2031,31,31,2031-01-01,2031-12-31,2032-01-01,2032-12-31,2030-12-31,365,8760,261,104,4,257,0,12
2032,32,32,2032-01-01,2032-12-31,2033-01-01,2033-12-31,2031-12-31,366,8784,262,104,4,261,1,13
2033,33,33,2033-01-01,2033-12-31,2034-01-01,2034-12-31,2032-12-31,365,8760,260,105,4,259,0,14
2034,34,34,2034-01-01,2034-12-31,2035-01-01,2035-12-31,2033-12-31,365,8760,260,105,4,257,0,15
2035,35,35,2035-01-01,2035-12-31,2036-01-01,2036-12-31,2034-12-31,365,8760,261,104,4,257,0,16
2036,36,36,2036-01-01,2036-12-31,2037-01-01,2037-12-31,2035-12-31,366,8784,262,104,4,258,1,17
